Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Net Premiums Earned,Investment Income/(Expense) - Net - Insurance,Revenue from Business Activities - Total,Insurance Claims/Reserves - Total,Underwriting Expenses,Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Investments including Loans - Total,Total Assets,Insurance Reserves - Total,Debt - Total,Earning Assets,Tangible Total Equity,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Loss Ratio - Insurance - %,Expense Ratio - %,Combined Ratio - Insurance - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Net Premiums Earned,Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Investments including Loans - Total,Tangible Total Equity,Total Assets,Claims Ratio - Insurance - %,Operating Ratio - Insurance - %,Investment Ratio - %,Claims & Loss Expense Percentage of Gross Premiums Written,Operating Income Percentage of Net Premiums Earned,Operating Income Percentage of Gross Premiums Written,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2015-03-31,ALL,Allstate Corp,6.4,8.91,14.03,19.145,26.03,33.885,39.52,44.215,47.92,50.895,57.3887939453125,57.49362496433122,56.50986213632385,56.83240823351472,3560700.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-01,ALL,Allstate Corp,6.435,8.92,14.025,19.14,25.78,33.785,39.515,44.29,48.045,51.055,57.48555374145508,57.97743510515762,57.21945277708069,57.396853419996944,3369600.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-02,ALL,Allstate Corp,6.4,8.96,14.05,19.155,25.79,33.795,39.52,44.3,48.055,51.075,57.61457061767578,57.77584673180153,57.36460033084925,57.485555878429885,1971900.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-06,ALL,Allstate Corp,6.37,8.855,13.975,19.09,25.735,33.75,39.48,44.26,48.02,51.035,58.154850006103516,58.469330803992165,57.146897153369125,57.30816714898423,2408700.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-07,ALL,Allstate Corp,6.47,9.015,14.085,19.175,27.46,34.485,39.51,44.35,48.12,51.11,57.630706787109375,58.38062387097788,57.630706787109375,58.17903332318586,1310800.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-08,ALL,Allstate Corp,6.07,8.75,13.855,19.315,26.12,34.64,40.735,45.05,48.405,51.07,57.71941375732422,58.05808444006449,57.60652352974413,57.735538296097374,2109000.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-09,ALL,Allstate Corp,6.45,9.015,14.08,19.165,25.785,33.78,39.5,44.33,48.095,51.085,57.97743225097656,58.06613256806804,57.74358651974029,57.74358651974029,1827600.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-10,ALL,Allstate Corp,6.38,8.895,14.005,19.12,25.755,33.765,39.49,44.33,48.09,51.075,58.08226776123047,58.251603083466506,57.76778699821277,58.05807787977607,1475100.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-13,ALL,Allstate Corp,6.41,9.92,14.01,20.15,25.84,34.4,40.52,44.925,48.36,51.085,58.04194641113281,58.37255167161895,57.791969977828636,57.791969977828636,1465800.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
2015-04-14,ALL,Allstate Corp,6.035,9.38,14.49,20.62,26.26,35.475,42.05,45.805,48.73,51.055,57.654903411865234,58.13871955274241,57.55813772286739,57.98551490189917,2263200.0,7963.0,850.0,9005.0,5633.0,1070.0,1212.0,677.0,916.0,75655.0,108064.0,69647.0,5194.0,75655.0,20960.0,20433.0,566.0,87.0,59.0,259.0,49.96,46.98,1.53,422.6,1.6,67.2,26.5,93.7,13.46,12.0,37.37,7.52,13.68,2.52,7963.0,9005.0,1212.0,677.0,1.53,409.0,75655.0,20960.0,108064.0,70.74,27.13,10.67,70.74,15.22,15.22,4.81,18.97,23.42,16.6,0.81,18.94,528.12
