Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2015-12-31,AMZN,Amazon.com Inc,7.52,13.605,21.46,28.075,35.06,47.655,56.575,69.56,79.17,89.005,33.794498443603516,34.38750076293945,33.794498443603516,34.30400085449219,74992000.0,35747.0,11406.0,1109.0,2862.0,482.0,15890.0,19808.0,64747.0,17512.0,13384.0,8931.0,1752.0,1309.0,5181.0,6824.0,0.0,1.0,480.0,31.91,8.01,3.1,2.62,48.19,1.35,2.07,4.94,1.0,2.75,35747.0,1109.0,2862.0,482.0,1.0,471.0,27.05,56.68,130.84,9.64,1.0,0.0,316831.55,17512.0,0.0,19808.0,314535.55,1.79,1.47,2.63,4.94,13.0,0.39,4.94,1.0,4.94,1.05,0.75,0.03,19.0,19.27,3.89,94.13,7.73,47.36,-27.51
2016-01-04,AMZN,Amazon.com Inc,7.575,13.765,21.76,28.445,35.43,48.24,57.295,70.37,80.09,89.92,31.84950065612793,32.88600158691406,31.375499725341797,32.81449890136719,186290000.0,35747.0,11406.0,1109.0,2862.0,482.0,15890.0,19808.0,64747.0,17512.0,13384.0,8931.0,1752.0,1309.0,5181.0,6824.0,0.0,1.0,480.0,31.91,8.01,3.1,2.62,48.19,1.35,2.07,4.94,1.0,2.75,35747.0,1109.0,2862.0,482.0,1.0,471.0,27.05,56.68,130.84,9.64,1.0,0.0,316831.55,17512.0,0.0,19808.0,314535.55,1.79,1.47,2.63,4.94,13.0,0.39,4.94,1.0,4.94,1.05,0.75,0.03,19.0,19.27,3.89,94.13,7.73,47.36,-27.51
2016-01-05,AMZN,Amazon.com Inc,7.575,13.69,21.82,28.655,35.67,48.555,57.655,70.71,80.35,90.06,31.68950080871582,32.34550094604492,31.38249969482422,32.34299850463867,116452000.0,35747.0,11406.0,1109.0,2862.0,482.0,15890.0,19808.0,64747.0,17512.0,13384.0,8931.0,1752.0,1309.0,5181.0,6824.0,0.0,1.0,480.0,31.91,8.01,3.1,2.62,48.19,1.35,2.07,4.94,1.0,2.75,35747.0,1109.0,2862.0,482.0,1.0,471.0,27.05,56.68,130.84,9.64,1.0,0.0,316831.55,17512.0,0.0,19808.0,314535.55,1.79,1.47,2.63,4.94,13.0,0.39,4.94,1.0,4.94,1.05,0.75,0.03,19.0,19.27,3.89,94.13,7.73,47.36,-27.51
2016-01-06,AMZN,Amazon.com Inc,7.765,13.85,21.86,29.025,35.44,48.395,57.63,70.86,80.635,90.48,31.63249969482422,31.989500045776367,31.015499114990234,31.100000381469727,106584000.0,35747.0,11406.0,1109.0,2862.0,482.0,15890.0,19808.0,64747.0,17512.0,13384.0,8931.0,1752.0,1309.0,5181.0,6824.0,0.0,1.0,480.0,31.91,8.01,3.1,2.62,48.19,1.35,2.07,4.94,1.0,2.75,35747.0,1109.0,2862.0,482.0,1.0,471.0,27.05,56.68,130.84,9.64,1.0,0.0,316831.55,17512.0,0.0,19808.0,314535.55,1.79,1.47,2.63,4.94,13.0,0.39,4.94,1.0,4.94,1.05,0.75,0.03,19.0,19.27,3.89,94.13,7.73,47.36,-27.51
2016-01-07,AMZN,Amazon.com Inc,7.805,13.885,21.94,29.125,35.74,48.705,58.04,71.28,81.28,91.34,30.39699935913086,31.5,30.260499954223633,31.09000015258789,141498000.0,35747.0,11406.0,1109.0,2862.0,482.0,15890.0,19808.0,64747.0,17512.0,13384.0,8931.0,1752.0,1309.0,5181.0,6824.0,0.0,1.0,480.0,31.91,8.01,3.1,2.62,48.19,1.35,2.07,4.94,1.0,2.75,35747.0,1109.0,2862.0,482.0,1.0,471.0,27.05,56.68,130.84,9.64,1.0,0.0,316831.55,17512.0,0.0,19808.0,314535.55,1.79,1.47,2.63,4.94,13.0,0.39,4.94,1.0,4.94,1.05,0.75,0.03,19.0,19.27,3.89,94.13,7.73,47.36,-27.51
2016-01-08,AMZN,Amazon.com Inc,7.995,14.89,23.645,31.895,39.1,53.72,63.715,77.97,88.54,99.4,30.352500915527344,31.207000732421875,30.299999237060547,30.982999801635742,110258000.0,35747.0,11406.0,1109.0,2862.0,482.0,15890.0,19808.0,64747.0,17512.0,13384.0,8931.0,1752.0,1309.0,5181.0,6824.0,0.0,1.0,480.0,31.91,8.01,3.1,2.62,48.19,1.35,2.07,4.94,1.0,2.75,35747.0,1109.0,2862.0,482.0,1.0,471.0,27.05,56.68,130.84,9.64,1.0,0.0,316831.55,17512.0,0.0,19808.0,314535.55,1.79,1.47,2.63,4.94,13.0,0.39,4.94,1.0,4.94,1.05,0.75,0.03,19.0,19.27,3.89,94.13,7.73,47.36,-27.51
2016-01-11,AMZN,Amazon.com Inc,8.205,14.99,23.78,32.65,39.97,55.105,65.255,79.79,90.51,101.43,30.886999130249023,30.99250030517578,29.928499221801758,30.624000549316406,97832000.0,35747.0,11406.0,1109.0,2862.0,482.0,15890.0,19808.0,64747.0,17512.0,13384.0,8931.0,1752.0,1309.0,5181.0,6824.0,0.0,1.0,480.0,31.91,8.01,3.1,2.62,48.19,1.35,2.07,4.94,1.0,2.75,35747.0,1109.0,2862.0,482.0,1.0,471.0,27.05,56.68,130.84,9.64,1.0,0.0,316831.55,17512.0,0.0,19808.0,314535.55,1.79,1.47,2.63,4.94,13.0,0.39,4.94,1.0,4.94,1.05,0.75,0.03,19.0,19.27,3.89,94.13,7.73,47.36,-27.51
2016-01-12,AMZN,Amazon.com Inc,7.875,14.8,23.64,32.615,40.06,55.36,65.52,80.07,90.775,101.63,30.894500732421875,31.29949951171875,30.61199951171875,31.262500762939453,94482000.0,35747.0,11406.0,1109.0,2862.0,482.0,15890.0,19808.0,64747.0,17512.0,13384.0,8931.0,1752.0,1309.0,5181.0,6824.0,0.0,1.0,480.0,31.91,8.01,3.1,2.62,48.19,1.35,2.07,4.94,1.0,2.75,35747.0,1109.0,2862.0,482.0,1.0,471.0,27.05,56.68,130.84,9.64,1.0,0.0,316831.55,17512.0,0.0,19808.0,314535.55,1.79,1.47,2.63,4.94,13.0,0.39,4.94,1.0,4.94,1.05,0.75,0.03,19.0,19.27,3.89,94.13,7.73,47.36,-27.51
2016-01-13,AMZN,Amazon.com Inc,7.835,14.65,23.4,32.315,39.73,54.965,65.055,79.515,90.15,100.92,29.090499877929688,31.04400062561035,28.95800018310547,31.04400062561035,153104000.0,35747.0,11406.0,1109.0,2862.0,482.0,15890.0,19808.0,64747.0,17512.0,13384.0,8931.0,1752.0,1309.0,5181.0,6824.0,0.0,1.0,480.0,31.91,8.01,3.1,2.62,48.19,1.35,2.07,4.94,1.0,2.75,35747.0,1109.0,2862.0,482.0,1.0,471.0,27.05,56.68,130.84,9.64,1.0,0.0,316831.55,17512.0,0.0,19808.0,314535.55,1.79,1.47,2.63,4.94,13.0,0.39,4.94,1.0,4.94,1.05,0.75,0.03,19.0,19.27,3.89,94.13,7.73,47.36,-27.51
2016-01-14,AMZN,Amazon.com Inc,7.905,14.725,23.35,31.815,39.19,53.905,63.77,78.18,88.76,99.555,29.649999618530273,30.112499237060547,28.493999481201172,29.012500762939453,144760000.0,35747.0,11406.0,1109.0,2862.0,482.0,15890.0,19808.0,64747.0,17512.0,13384.0,8931.0,1752.0,1309.0,5181.0,6824.0,0.0,1.0,480.0,31.91,8.01,3.1,2.62,48.19,1.35,2.07,4.94,1.0,2.75,35747.0,1109.0,2862.0,482.0,1.0,471.0,27.05,56.68,130.84,9.64,1.0,0.0,316831.55,17512.0,0.0,19808.0,314535.55,1.79,1.47,2.63,4.94,13.0,0.39,4.94,1.0,4.94,1.05,0.75,0.03,19.0,19.27,3.89,94.13,7.73,47.36,-27.51
