Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP Income from Operations - Company Reported,Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP Adjusted EBITDA - Company Reported,Non-GAAP EPS Diluted - Company Reported,Non-GAAP Operating Margin % - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2018-12-31,APD,Air Products   Chemicals Inc,7.07,12.33,19.425,27.85,36.52,48.125,56.29,62.38,67.07,70.795,139.0266876220703,139.81715805290253,137.90612772463214,138.93981778733954,1065400.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-01-02,APD,Air Products   Chemicals Inc,7.105,12.39,19.525,28.7,38.36,51.37,60.51,66.765,71.585,75.415,138.62709045410156,139.65209872802805,135.43048233803984,136.71607357997993,956900.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-01-03,APD,Air Products   Chemicals Inc,7.42,12.97,20.5,29.61,39.04,51.295,59.9,66.115,70.9,74.695,134.90936279296875,138.27971238154794,134.02334045952628,138.23627744525027,1114800.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-01-04,APD,Air Products   Chemicals Inc,7.24,12.64,19.925,28.88,38.19,50.155,58.56,64.35,68.81,72.345,140.3817901611328,140.642386444163,136.71610534208006,137.30679113391366,1082200.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-01-07,APD,Air Products   Chemicals Inc,7.005,12.25,19.34,27.98,36.95,48.315,56.3,61.79,66.02,69.375,138.9224395751953,141.95401651163698,138.81820637829526,140.33833568730765,1349500.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-01-08,APD,Air Products   Chemicals Inc,7.19,12.56,19.785,28.56,37.67,49.085,57.1,62.605,66.845,70.215,137.32412719726562,139.53917528091895,135.99510099796862,137.54998344974416,2100300.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-01-09,APD,Air Products   Chemicals Inc,7.11,12.435,19.63,28.325,37.34,48.575,56.465,61.875,66.05,69.365,136.19491577148438,137.46314397440332,134.61398792742477,136.72479003199138,2292400.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-01-10,APD,Air Products   Chemicals Inc,7.12,12.44,19.585,28.25,37.22,48.375,56.21,61.585,65.725,69.015,136.55105590820312,136.68136067249156,134.93537491415685,135.98644169305112,1502000.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-01-11,APD,Air Products   Chemicals Inc,7.18,12.57,19.84,28.605,37.68,48.925,56.815,62.23,66.4,69.715,136.19491577148438,136.8203415627214,135.1264855674869,136.21229239192925,1047300.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
2019-01-14,APD,Air Products   Chemicals Inc,7.195,12.585,19.805,28.5,37.49,48.75,56.66,62.225,66.505,69.905,134.74423217773438,135.77792203271264,133.90164531717932,135.30016454665463,1047900.0,2224.0,680.0,484.7,742.7,341.4,2923.3,2935.6,19142.0,3767.9,10882.9,655.2,258.0,402.3,132.0,10.3,2.75,1.5,221.0,455.0,347.5,794.9,1.86,20.5,30.58,33.39,21.79,21.99,30.2,15.35,2.61,15.76,9.1,12.5,2224.0,484.7,742.7,341.4,1.5,219.63,19.68,25.17,33.63,12.15,137.38,0.27,72.79,35151.97,3767.9,320.5,2935.6,36304.77,0.48,22.93,10.97,1.74,19.04,0.83,15.76,0.42,6.61,2.21,2.03,0.15,7.15,51.22,3.79,96.51,14.74,24.83,-20.46
