Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,Dividend Yield - Common Stock - Gross - Issue Specific - %,Dividend Yield - Common Stock - Net - Issue Specific - %,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Non-GAAP Revenues - Company Reported,Non-GAAP Income from Operations - Company Reported,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,Free Cash Flow,Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items),Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items),Return on Invested Capital - %,Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Debt Service,Debt Service Percentage of Normalized after Tax Profit,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Minority Interest - Total,Cash & Short Term Investments - Total,Enterprise Value,Asset Turnover,Income before Tax Margin - %,Pretax ROA - %,Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt,Pretax ROE - %,Tax Complement,Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items),Earnings Retention Rate,Reinvestment Rate - %,Net Income after Tax per Employee,Sales per Employee,Total Assets per Employee,Current Ratio,Quick Ratio,Working Capital to Total Assets,Accounts Receivable Turnover,Average Receivables Collection Days,Payables Turnover,Average Payables Payment Days,Inventory Turnover,Average Inventory Days,Average Net Trade Cycle Days
2019-12-31,CVS,CVS Health Corp,10.525,20.2948,29.9201,42.9615,61.1252,79.2873,92.0556,96.7939,100.5003,103.4604,63.05081558227539,63.11871409666374,62.312433807409214,62.43125297000947,4531900.0,256776.0,98057.0,12467.0,16838.0,6631.0,5683.0,8056.0,222449.0,68480.0,63864.0,12848.0,4371.0,2415.0,1659.0,7788.0,2.69,2.69,5.08,1305.0,256776.0,15339.0,38.19,6.56,4.86,3.5,26.3,2.58,10391.0,10.87,3.17,6.7,256776.0,12467.0,16838.0,6631.0,5.08,1302.0,30.78,51.62,106.72,5918.0,80.03,4.11,253.69,0.61,39.42,96648.62,68480.0,0.0,306.0,8056.0,157378.62,1.23,3.5,4.3,3.41,14.66,0.74,10.87,0.61,6.58,22670.09,877866.67,767065.52,0.94,0.62,-0.01,13.79,26.55,5.53,66.19,9.35,39.16,-0.48
2020-01-02,CVS,CVS Health Corp,10.0514,18.4319,28.0364,40.737,58.4823,77.2762,90.4768,95.4747,99.3719,102.4776,62.940494537353516,63.39879338845532,62.40580175246864,63.356361667139794,5022700.0,256776.0,98057.0,12467.0,16838.0,6631.0,5683.0,8056.0,222449.0,68480.0,63864.0,12848.0,4371.0,2415.0,1659.0,7788.0,2.69,2.69,5.08,1305.0,256776.0,15339.0,38.19,6.56,4.86,3.5,26.3,2.58,10391.0,10.87,3.17,6.7,256776.0,12467.0,16838.0,6631.0,5.08,1302.0,30.78,51.62,106.72,5918.0,80.03,4.11,253.69,0.61,39.42,96648.62,68480.0,0.0,306.0,8056.0,157378.62,1.23,3.5,4.3,3.41,14.66,0.74,10.87,0.61,6.58,22670.09,877866.67,767065.52,0.94,0.62,-0.01,13.79,26.55,5.53,66.19,9.35,39.16,-0.48
2020-01-03,CVS,CVS Health Corp,10.1965,19.5055,29.5068,42.4498,60.5738,79.1166,92.1415,96.9918,100.7729,103.7855,62.43972396850586,62.85559091815707,62.0153680882047,62.142676147326426,4453000.0,256776.0,98057.0,12467.0,16838.0,6631.0,5683.0,8056.0,222449.0,68480.0,63864.0,12848.0,4371.0,2415.0,1659.0,7788.0,2.69,2.69,5.08,1305.0,256776.0,15339.0,38.19,6.56,4.86,3.5,26.3,2.58,10391.0,10.87,3.17,6.7,256776.0,12467.0,16838.0,6631.0,5.08,1302.0,30.78,51.62,106.72,5918.0,80.03,4.11,253.69,0.61,39.42,96648.62,68480.0,0.0,306.0,8056.0,157378.62,1.23,3.5,4.3,3.41,14.66,0.74,10.87,0.61,6.58,22670.09,877866.67,767065.52,0.94,0.62,-0.01,13.79,26.55,5.53,66.19,9.35,39.16,-0.48
2020-01-06,CVS,CVS Health Corp,10.365,19.5927,29.6547,42.4672,60.3595,78.6935,91.5711,96.3636,100.1117,103.1072,62.68587112426758,62.75376964078203,62.00689890944089,62.0578260344062,4620700.0,256776.0,98057.0,12467.0,16838.0,6631.0,5683.0,8056.0,222449.0,68480.0,63864.0,12848.0,4371.0,2415.0,1659.0,7788.0,2.69,2.69,5.08,1305.0,256776.0,15339.0,38.19,6.56,4.86,3.5,26.3,2.58,10391.0,10.87,3.17,6.7,256776.0,12467.0,16838.0,6631.0,5.08,1302.0,30.78,51.62,106.72,5918.0,80.03,4.11,253.69,0.61,39.42,96648.62,68480.0,0.0,306.0,8056.0,157378.62,1.23,3.5,4.3,3.41,14.66,0.74,10.87,0.61,6.58,22670.09,877866.67,767065.52,0.94,0.62,-0.01,13.79,26.55,5.53,66.19,9.35,39.16,-0.48
2020-01-07,CVS,CVS Health Corp,10.2343,19.1248,29.1922,41.6652,60.0295,78.0428,90.6944,95.4054,99.105,102.0722,62.44822311401367,62.52460407688646,61.66740972057702,62.47368343497127,6172300.0,256776.0,98057.0,12467.0,16838.0,6631.0,5683.0,8056.0,222449.0,68480.0,63864.0,12848.0,4371.0,2415.0,1659.0,7788.0,2.69,2.69,5.08,1305.0,256776.0,15339.0,38.19,6.56,4.86,3.5,26.3,2.58,10391.0,10.87,3.17,6.7,256776.0,12467.0,16838.0,6631.0,5.08,1302.0,30.78,51.62,106.72,5918.0,80.03,4.11,253.69,0.61,39.42,96648.62,68480.0,0.0,306.0,8056.0,157378.62,1.23,3.5,4.3,3.41,14.66,0.74,10.87,0.61,6.58,22670.09,877866.67,767065.52,0.94,0.62,-0.01,13.79,26.55,5.53,66.19,9.35,39.16,-0.48
2020-01-08,CVS,CVS Health Corp,10.0969,18.4827,28.2856,40.892,58.3403,76.5399,89.3184,94.1395,97.9282,100.9673,61.66741180419922,62.032351717132634,60.76777275730018,61.53161478762648,8311200.0,256776.0,98057.0,12467.0,16838.0,6631.0,5683.0,8056.0,222449.0,68480.0,63864.0,12848.0,4371.0,2415.0,1659.0,7788.0,2.69,2.69,5.08,1305.0,256776.0,15339.0,38.19,6.56,4.86,3.5,26.3,2.58,10391.0,10.87,3.17,6.7,256776.0,12467.0,16838.0,6631.0,5.08,1302.0,30.78,51.62,106.72,5918.0,80.03,4.11,253.69,0.61,39.42,96648.62,68480.0,0.0,306.0,8056.0,157378.62,1.23,3.5,4.3,3.41,14.66,0.74,10.87,0.61,6.58,22670.09,877866.67,767065.52,0.94,0.62,-0.01,13.79,26.55,5.53,66.19,9.35,39.16,-0.48
2020-01-09,CVS,CVS Health Corp,10.384,17.6528,26.7097,38.6742,57.0649,74.9836,87.5648,92.3501,96.1279,99.1713,61.83714294433594,62.17662896309137,61.67588562851673,61.95596207962675,5426200.0,256776.0,98057.0,12467.0,16838.0,6631.0,5683.0,8056.0,222449.0,68480.0,63864.0,12848.0,4371.0,2415.0,1659.0,7788.0,2.69,2.69,5.08,1305.0,256776.0,15339.0,38.19,6.56,4.86,3.5,26.3,2.58,10391.0,10.87,3.17,6.7,256776.0,12467.0,16838.0,6631.0,5.08,1302.0,30.78,51.62,106.72,5918.0,80.03,4.11,253.69,0.61,39.42,96648.62,68480.0,0.0,306.0,8056.0,157378.62,1.23,3.5,4.3,3.41,14.66,0.74,10.87,0.61,6.58,22670.09,877866.67,767065.52,0.94,0.62,-0.01,13.79,26.55,5.53,66.19,9.35,39.16,-0.48
2020-01-10,CVS,CVS Health Corp,9.5281,17.5388,27.6168,39.5448,56.2223,74.9702,88.1238,93.166,97.1172,100.2795,61.200626373291016,62.26151643457375,60.954499102054335,62.21907824205881,5198600.0,256776.0,98057.0,12467.0,16838.0,6631.0,5683.0,8056.0,222449.0,68480.0,63864.0,12848.0,4371.0,2415.0,1659.0,7788.0,2.69,2.69,5.08,1305.0,256776.0,15339.0,38.19,6.56,4.86,3.5,26.3,2.58,10391.0,10.87,3.17,6.7,256776.0,12467.0,16838.0,6631.0,5.08,1302.0,30.78,51.62,106.72,5918.0,80.03,4.11,253.69,0.61,39.42,96648.62,68480.0,0.0,306.0,8056.0,157378.62,1.23,3.5,4.3,3.41,14.66,0.74,10.87,0.61,6.58,22670.09,877866.67,767065.52,0.94,0.62,-0.01,13.79,26.55,5.53,66.19,9.35,39.16,-0.48
2020-01-13,CVS,CVS Health Corp,9.5348,17.6115,27.2609,39.3813,55.5968,74.1402,87.1477,92.147,96.0778,99.2333,61.752281188964844,61.947481304718835,60.79323257407216,61.35338555004397,6654600.0,256776.0,98057.0,12467.0,16838.0,6631.0,5683.0,8056.0,222449.0,68480.0,63864.0,12848.0,4371.0,2415.0,1659.0,7788.0,2.69,2.69,5.08,1305.0,256776.0,15339.0,38.19,6.56,4.86,3.5,26.3,2.58,10391.0,10.87,3.17,6.7,256776.0,12467.0,16838.0,6631.0,5.08,1302.0,30.78,51.62,106.72,5918.0,80.03,4.11,253.69,0.61,39.42,96648.62,68480.0,0.0,306.0,8056.0,157378.62,1.23,3.5,4.3,3.41,14.66,0.74,10.87,0.61,6.58,22670.09,877866.67,767065.52,0.94,0.62,-0.01,13.79,26.55,5.53,66.19,9.35,39.16,-0.48
2020-01-14,CVS,CVS Health Corp,9.7984,17.1373,26.91,38.7142,56.2716,74.9526,88.0537,93.0673,96.9987,100.1476,62.660400390625,62.74527028459057,61.54858341165515,61.55707234359907,6484200.0,256776.0,98057.0,12467.0,16838.0,6631.0,5683.0,8056.0,222449.0,68480.0,63864.0,12848.0,4371.0,2415.0,1659.0,7788.0,2.69,2.69,5.08,1305.0,256776.0,15339.0,38.19,6.56,4.86,3.5,26.3,2.58,10391.0,10.87,3.17,6.7,256776.0,12467.0,16838.0,6631.0,5.08,1302.0,30.78,51.62,106.72,5918.0,80.03,4.11,253.69,0.61,39.42,96648.62,68480.0,0.0,306.0,8056.0,157378.62,1.23,3.5,4.3,3.41,14.66,0.74,10.87,0.61,6.58,22670.09,877866.67,767065.52,0.94,0.62,-0.01,13.79,26.55,5.53,66.19,9.35,39.16,-0.48
2020-01-15,CVS,CVS Health Corp,9.6837,17.2214,27.0054,38.7522,56.2397,75.1795,88.4595,93.5417,97.5181,100.6965,63.882530212402344,64.17958450334899,62.75374851240075,62.79618021456688,8102800.0,256776.0,98057.0,12467.0,16838.0,6631.0,5683.0,8056.0,222449.0,68480.0,63864.0,12848.0,4371.0,2415.0,1659.0,7788.0,2.69,2.69,5.08,1305.0,256776.0,15339.0,38.19,6.56,4.86,3.5,26.3,2.58,10391.0,10.87,3.17,6.7,256776.0,12467.0,16838.0,6631.0,5.08,1302.0,30.78,51.62,106.72,5918.0,80.03,4.11,253.69,0.61,39.42,96648.62,68480.0,0.0,306.0,8056.0,157378.62,1.23,3.5,4.3,3.41,14.66,0.74,10.87,0.61,6.58,22670.09,877866.67,767065.52,0.94,0.62,-0.01,13.79,26.55,5.53,66.19,9.35,39.16,-0.48
