Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Preferred Shareholders Equity,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2015-08-31,NKE,NIKE Inc,6.36,9.76,13.695,18.1,22.94,28.06,31.475,33.81,35.61,37.16,50.0863151550293,50.41798196683072,49.85325282174803,50.37316268191035,7073600.0,8457.0,3878.0,1301.0,1466.0,1179.0,3246.0,5408.0,20766.0,1208.0,12894.0,491.0,165.0,318.0,-606.0,-76.0,1.0,0.67,1754.6,45.86,17.33,15.38,17.09,18.41,13.94,3.51,29.08,17.77,26.47,8457.0,1301.0,1466.0,1179.0,0.67,1354.0,5.82,8.57,9.37,185.86,621.97,0.84,16.08,95589.17,1208.0,0.0,5408.0,91389.17,1.59,14.19,22.51,1.64,36.84,0.79,29.08,0.78,22.77,2.89,2.05,0.48,9.06,40.38,8.52,42.96,3.94,92.95,90.37
2015-09-01,NKE,NIKE Inc,6.61,10.01,13.905,18.39,23.26,28.63,32.095,34.38,36.17,37.69,48.687923431396484,49.22576502644875,48.41900434361621,48.84479603380239,9385200.0,8457.0,3878.0,1301.0,1466.0,1179.0,3246.0,5408.0,20766.0,1208.0,12894.0,491.0,165.0,318.0,-606.0,-76.0,1.0,0.67,1754.6,45.86,17.33,15.38,17.09,18.41,13.94,3.51,29.08,17.77,26.47,8457.0,1301.0,1466.0,1179.0,0.67,1354.0,5.82,8.57,9.37,185.86,621.97,0.84,16.08,95589.17,1208.0,0.0,5408.0,91389.17,1.59,14.19,22.51,1.64,36.84,0.79,29.08,0.78,22.77,2.89,2.05,0.48,9.06,40.38,8.52,42.96,3.94,92.95,90.37
2015-09-02,NKE,NIKE Inc,6.6,10.0,13.9,18.4,23.3,28.51,32.015,34.32,36.12,37.7,49.61570358276367,49.651560378112485,48.943404057688326,49.369195808598036,8536400.0,8457.0,3878.0,1301.0,1466.0,1179.0,3246.0,5408.0,20766.0,1208.0,12894.0,491.0,165.0,318.0,-606.0,-76.0,1.0,0.67,1754.6,45.86,17.33,15.38,17.09,18.41,13.94,3.51,29.08,17.77,26.47,8457.0,1301.0,1466.0,1179.0,0.67,1354.0,5.82,8.57,9.37,185.86,621.97,0.84,16.08,95589.17,1208.0,0.0,5408.0,91389.17,1.59,14.19,22.51,1.64,36.84,0.79,29.08,0.78,22.77,2.89,2.05,0.48,9.06,40.38,8.52,42.96,3.94,92.95,90.37
2015-09-03,NKE,NIKE Inc,6.6,10.1,13.895,18.3,23.3,28.41,31.665,33.97,35.77,37.29,49.808921813964844,50.36609779498571,49.61121619834268,49.97967178020279,6065000.0,8457.0,3878.0,1301.0,1466.0,1179.0,3246.0,5408.0,20766.0,1208.0,12894.0,491.0,165.0,318.0,-606.0,-76.0,1.0,0.67,1754.6,45.86,17.33,15.38,17.09,18.41,13.94,3.51,29.08,17.77,26.47,8457.0,1301.0,1466.0,1179.0,0.67,1354.0,5.82,8.57,9.37,185.86,621.97,0.84,16.08,95589.17,1208.0,0.0,5408.0,91389.17,1.59,14.19,22.51,1.64,36.84,0.79,29.08,0.78,22.77,2.89,2.05,0.48,9.06,40.38,8.52,42.96,3.94,92.95,90.37
2015-09-04,NKE,NIKE Inc,6.6,10.04,13.895,18.36,23.42,28.63,31.995,34.34,36.19,37.75,49.28769302368164,49.62020087978399,48.95069084531532,49.076504443399266,7126200.0,8457.0,3878.0,1301.0,1466.0,1179.0,3246.0,5408.0,20766.0,1208.0,12894.0,491.0,165.0,318.0,-606.0,-76.0,1.0,0.67,1754.6,45.86,17.33,15.38,17.09,18.41,13.94,3.51,29.08,17.77,26.47,8457.0,1301.0,1466.0,1179.0,0.67,1354.0,5.82,8.57,9.37,185.86,621.97,0.84,16.08,95589.17,1208.0,0.0,5408.0,91389.17,1.59,14.19,22.51,1.64,36.84,0.79,29.08,0.78,22.77,2.89,2.05,0.48,9.06,40.38,8.52,42.96,3.94,92.95,90.37
2015-09-08,NKE,NIKE Inc,6.6,9.9,13.895,18.28,23.01,28.47,31.985,34.29,36.19,37.74,50.21332550048828,50.267247084157866,49.52584159247769,50.083017577742744,5511400.0,8457.0,3878.0,1301.0,1466.0,1179.0,3246.0,5408.0,20766.0,1208.0,12894.0,491.0,165.0,318.0,-606.0,-76.0,1.0,0.67,1754.6,45.86,17.33,15.38,17.09,18.41,13.94,3.51,29.08,17.77,26.47,8457.0,1301.0,1466.0,1179.0,0.67,1354.0,5.82,8.57,9.37,185.86,621.97,0.84,16.08,95589.17,1208.0,0.0,5408.0,91389.17,1.59,14.19,22.51,1.64,36.84,0.79,29.08,0.78,22.77,2.89,2.05,0.48,9.06,40.38,8.52,42.96,3.94,92.95,90.37
2015-09-09,NKE,NIKE Inc,6.705,10.11,14.105,18.485,23.55,28.99,32.545,34.825,36.72,38.11,49.364078521728516,50.77049968805027,49.251744464183744,50.64468609210626,6349800.0,8457.0,3878.0,1301.0,1466.0,1179.0,3246.0,5408.0,20766.0,1208.0,12894.0,491.0,165.0,318.0,-606.0,-76.0,1.0,0.67,1754.6,45.86,17.33,15.38,17.09,18.41,13.94,3.51,29.08,17.77,26.47,8457.0,1301.0,1466.0,1179.0,0.67,1354.0,5.82,8.57,9.37,185.86,621.97,0.84,16.08,95589.17,1208.0,0.0,5408.0,91389.17,1.59,14.19,22.51,1.64,36.84,0.79,29.08,0.78,22.77,2.89,2.05,0.48,9.06,40.38,8.52,42.96,3.94,92.95,90.37
2015-09-10,NKE,NIKE Inc,6.765,10.1,14.165,18.5,23.56,28.94,32.375,34.685,36.58,38.04,49.59773254394531,49.89429610551318,48.95069069462497,49.27421333336685,7363000.0,8457.0,3878.0,1301.0,1466.0,1179.0,3246.0,5408.0,20766.0,1208.0,12894.0,491.0,165.0,318.0,-606.0,-76.0,1.0,0.67,1754.6,45.86,17.33,15.38,17.09,18.41,13.94,3.51,29.08,17.77,26.47,8457.0,1301.0,1466.0,1179.0,0.67,1354.0,5.82,8.57,9.37,185.86,621.97,0.84,16.08,95589.17,1208.0,0.0,5408.0,91389.17,1.59,14.19,22.51,1.64,36.84,0.79,29.08,0.78,22.77,2.89,2.05,0.48,9.06,40.38,8.52,42.96,3.94,92.95,90.37
2015-09-11,NKE,NIKE Inc,6.865,10.16,14.135,18.5,23.72,29.08,32.645,34.935,36.89,38.23,50.244781494140625,50.253766711134276,49.422495298592764,49.530338471498624,5589600.0,8457.0,3878.0,1301.0,1466.0,1179.0,3246.0,5408.0,20766.0,1208.0,12894.0,491.0,165.0,318.0,-606.0,-76.0,1.0,0.67,1754.6,45.86,17.33,15.38,17.09,18.41,13.94,3.51,29.08,17.77,26.47,8457.0,1301.0,1466.0,1179.0,0.67,1354.0,5.82,8.57,9.37,185.86,621.97,0.84,16.08,95589.17,1208.0,0.0,5408.0,91389.17,1.59,14.19,22.51,1.64,36.84,0.79,29.08,0.78,22.77,2.89,2.05,0.48,9.06,40.38,8.52,42.96,3.94,92.95,90.37
2015-09-14,NKE,NIKE Inc,6.895,10.33,14.165,18.565,23.7,29.04,32.475,34.785,36.78,38.09,50.276241302490234,50.35262765524293,49.93923905758401,50.10549473254349,6833200.0,8457.0,3878.0,1301.0,1466.0,1179.0,3246.0,5408.0,20766.0,1208.0,12894.0,491.0,165.0,318.0,-606.0,-76.0,1.0,0.67,1754.6,45.86,17.33,15.38,17.09,18.41,13.94,3.51,29.08,17.77,26.47,8457.0,1301.0,1466.0,1179.0,0.67,1354.0,5.82,8.57,9.37,185.86,621.97,0.84,16.08,95589.17,1208.0,0.0,5408.0,91389.17,1.59,14.19,22.51,1.64,36.84,0.79,29.08,0.78,22.77,2.89,2.05,0.48,9.06,40.38,8.52,42.96,3.94,92.95,90.37
