Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,Cost of Operating Revenue,Provision & Impairment for Loan Losses,"Selling, General & Administrative Expenses - Total",Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Loans & Receivables - Total,Investments - Total,Total Assets,Deposits - Total,Common Equity - Total,Tangible Total Equity,Earning Assets,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Non-GAAP Adjusted Net Earnings - Company Reported,Non-GAAP EPS Diluted - Company Reported,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Deposits - Total,Loans & Receivables - Total,Total Assets,Capital Adequacy - Total (%),Capital Adequacy - Tier 1 (%),Capital Adequacy - Core Tier 1 (%),Capital Adequacy - Tier 2 (%),Risk Weighted Assets,Leverage Ratio - Basel 3 - %,Reserves for Loan Losses - Total Percentage of Loans - Gross - Total,Reserves for Loan Losses - Total to Loans - Non-Performing & Impaired,Reserves for Loan Losses - Total Percentage of Total Assets,Loans - Non-Performing & Impaired Percentage of Loans - Gross - Total,Loans - Non-Performing & Impaired Percentage of Shareholders Equity - Common,Loans - Non-Performing & Impaired Percentage of Reserves for Loan Losses - Total,Loans - Gross - Total Percentage of Total Assets,Loans to Deposits (End of Period),Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2021-03-31,SCHW,The Charles Schwab Corp,12.3581,21.4148,32.6772,43.0996,50.4426,55.4254,59.0695,61.8599,64.0242,65.7518,61.805809020996094,62.25147955720973,61.00928977374499,61.71098719581994,7536100.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-01,SCHW,The Charles Schwab Corp,12.1864,21.1086,32.2058,42.4735,49.7088,54.6149,58.2025,60.9495,63.0811,64.7817,63.00059127807617,63.04799857871349,61.67306387471154,61.76788571042851,5796900.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-05,SCHW,The Charles Schwab Corp,12.0972,20.9452,31.959,42.148,49.324,54.1917,57.7534,60.4808,62.5951,64.2816,64.62206268310547,65.32375288511845,64.2617296118337,64.67895433248873,8211800.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-06,SCHW,The Charles Schwab Corp,12.0986,20.952,31.9843,42.1921,49.3809,54.2564,57.8221,60.5523,62.6702,64.361,63.81606674194336,65.07721079678491,63.6359002050624,64.36603623681277,7360400.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-07,SCHW,The Charles Schwab Corp,12.0996,20.9515,31.99,42.2008,49.3927,54.2712,57.838,60.5683,62.6855,64.3752,63.579010009765625,64.10053369167757,62.96265726346795,63.68331619303639,7281400.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-08,SCHW,The Charles Schwab Corp,12.3853,21.4571,32.7741,43.2333,50.5948,55.5926,59.2465,62.0439,64.2123,65.9423,63.37986755371094,63.474696607311444,62.659215940546446,63.09540209623267,6361000.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-09,SCHW,The Charles Schwab Corp,11.8385,20.8074,32.1528,42.5727,49.9001,54.8842,58.5327,61.3309,63.5005,65.2309,64.07209777832031,65.26687327688576,63.71177187501334,64.78327246458305,6311100.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-12,SCHW,The Charles Schwab Corp,11.9233,20.9064,32.2573,42.7393,50.1116,55.103,58.7475,61.5356,63.6965,65.4193,64.20484161376953,64.40396963237698,63.83503140286396,63.83503140286396,5620600.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-13,SCHW,The Charles Schwab Corp,12.0155,21.0346,32.4176,42.9795,50.4115,55.4296,59.0893,61.883,64.0479,65.7753,63.15228271484375,64.16689119503151,62.763511153834884,64.16689119503151,4886500.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
2021-04-14,SCHW,The Charles Schwab Corp,12.0794,21.1248,32.5374,43.1639,50.6467,55.6879,59.3577,62.1543,64.3216,66.0508,63.948822021484375,64.87808610946628,63.247124544258085,63.52211292299129,6702200.0,2015.0,2583.0,4819.0,104.0,0.0,2324.0,2075.0,1484.0,100780.0,342007.0,563457.0,369898.0,45055.0,33804.0,380845.0,-4742.0,283.0,186.0,2879.0,23.9,12.34,0.73,1892.0,1.1,1594.0,0.84,40.67,24.29,30.79,10.72,0.85,2015.0,2583.0,4819.0,0.73,1885.25,369898.0,100780.0,563457.0,26.2,26.2,18.2,0.0,133106.87,6.4,0.07,0.25,0.0,0.28,0.16,394.44,4.51,0.07,3.58,26.65,36.33,0.76,24.5,408.24
